symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
REUSDT,1781877600000,1781877840000,0.7345,0.70425612135917,TP,8.0152,7.26,12,36,977342196.1357,0.499,101.65,6,2026-06-19 14:00:00
ACTUSDT,1781877720000,1781879520000,0.01057,0.01046,TIME,1.8614,8.6,9,11,10694625.32089,0.4863,101.64,2,2026-06-19 14:02:00
HEIUSDT,1781877720000,1781878560000,0.12383,0.10971951542287188,TP,22.5701,22.34,41,47,184024003.13123098,0.5103,114.98,2,2026-06-19 14:02:00
METUSDT,1781882580000,1781884380000,0.1294,0.133,TIME,-5.7841,11.5,14,79,34778413.1902,0.4479,44.1,1,2026-06-19 15:23:00
ACTUSDT,1781886240000,1781888040000,0.01084,0.01074,TIME,1.625,8.3,15,15,15113227.40652,0.4512,81.77,2,2026-06-19 16:24:00
REUSDT,1781886540000,1781886780000,0.6942,0.7238963333333334,SL,-8.7756,7.97,12,96,1109952249.6651,0.4768,87.08,6,2026-06-19 16:29:00
HEIUSDT,1781889480000,1781891280000,0.12243,0.11897,TIME,5.4322,8.51,21,47,214376846.893716,0.51,81.49,4,2026-06-19 17:18:00
BSBUSDT,1781896920000,1781897040000,0.43871,0.3887759138262098,TP,22.5441,22.31,5,11,214815920.51268998,0.5086,317.51,6,2026-06-19 19:22:00
BSBUSDT,1781897100000,1781897400000,0.39482,0.34858250755524756,TP,23.2021,23.07,13,6,222075387.82277998,0.497,367.62,6,2026-06-19 19:25:00
BSBUSDT,1781897460000,1781897520000,0.35216,0.3672246222222222,SL,-8.7756,20.54,6,30,229024722.02152997,0.4873,401.12,6,2026-06-19 19:31:00
BSBUSDT,1781897580000,1781897940000,0.35352,0.3686428,SL,-8.7756,19.94,36,41,231641696.04312003,0.4865,411.55,6,2026-06-19 19:33:00
ALICEUSDT,1781913780000,1781915580000,0.1129,0.1136,TIME,-1.46,8.66,16,45,6698334.53408,0.4993,79.25,1,2026-06-20 00:03:00
BTWUSDT,1781916660000,1781916840000,0.0924,0.08738792683005131,TP,10.6286,9.74,23,34,167101335.20898,0.515,114.95,2,2026-06-20 00:51:00
BICOUSDT,1781921520000,1781923320000,0.03512,0.03263,TIME,13.96,23.44,25,102,274570736.80972,0.478,103.49,1,2026-06-20 02:12:00
PORTALUSDT,1781923500000,1781925300000,0.01623,0.01604,TIME,2.1213,7.8,22,72,25453905.786415,0.4689,35.66,1,2026-06-20 02:45:00
REUSDT,1781923800000,1781925000000,0.854,0.8073525333828018,TP,10.7045,9.81,26,97,1522653436.7499,0.4806,51.22,2,2026-06-20 02:50:00
ANIMEUSDT,1781940360000,1781941800000,0.00305,0.0031804722222222226,SL,-8.7756,8.22,16,65,6699577.812453,0.5027,54.47,1,2026-06-20 07:26:00
ZEREBROUSDT,1781941740000,1781942820000,0.04161,0.04338998333333333,SL,-8.7756,17.75,12,86,74795702.512694,0.4728,68.57,2,2026-06-20 07:49:00
GUAUSDT,1781942520000,1781942580000,1.1436,1.1925206666666666,SL,-8.7756,15.5,9,11,37432118.700320005,0.536,280.59,2,2026-06-20 08:02:00
GUAUSDT,1781942640000,1781942760000,1.2042,1.1532171214226552,TP,8.2475,7.48,5,5,40166221.06667,0.5085,285.65,3,2026-06-20 08:04:00
BELUSDT,1781947620000,1781949420000,0.15091,0.15432,TIME,-4.7392,7.79,13,24,51938481.43541001,0.4949,87.46,3,2026-06-20 09:27:00
GUAUSDT,1781947920000,1781949660000,1.112,1.0303381941976428,TP,14.4674,13.56,7,65,53086724.92626999,0.4869,102.46,4,2026-06-20 09:32:00
BICOUSDT,1781950020000,1781951640000,0.03952,0.04121057777777778,SL,-8.7756,9.39,19,78,430790140.56593,0.4909,72.34,3,2026-06-20 10:07:00
RAREUSDT,1781950440000,1781952240000,0.01562,0.01544,TIME,2.0847,9.18,13,42,17860955.87859,0.4844,113.5,3,2026-06-20 10:14:00
BTWUSDT,1781950500000,1781951040000,0.1256,0.1309728888888889,SL,-8.7756,7.95,6,19,307412827.988914,0.5425,91.32,3,2026-06-20 10:15:00
SYNUSDT,1781955840000,1781957640000,0.16298,0.16168,TIME,1.3753,14.8,6,80,181179505.16933,0.4896,87.91,2,2026-06-20 11:44:00
BELUSDT,1781957100000,1781957640000,0.1656,0.172684,SL,-8.7756,9.73,20,69,75169837.34173998,0.4949,93.82,5,2026-06-20 12:05:00
BICOUSDT,1781959320000,1781961120000,0.04153,0.04122,TIME,1.2729,11.17,11,107,475499749.11346,0.5049,63.89,4,2026-06-20 12:42:00
SLXUSDT,1781964420000,1781965740000,0.20563,0.21442639444444445,SL,-8.7756,7.97,24,90,52553464.38186,0.4566,64.57,1,2026-06-20 14:07:00
SPORTFUNUSDT,1781965500000,1781966460000,0.04199,0.03969187781988794,TP,10.726,9.83,16,12,12181668.396129997,0.4799,112.62,2,2026-06-20 14:25:00
SPORTFUNUSDT,1781966520000,1781966640000,0.03928,0.037018731372892924,TP,11.2936,10.39,21,49,15228496.461179998,0.4755,140.44,2,2026-06-20 14:42:00
SYNUSDT,1781971980000,1781972880000,0.15411,0.16070248333333334,SL,-8.7756,7.02,23,86,178814510.19784,0.4945,62.58,4,2026-06-20 16:13:00
VELVETUSDT,1781979180000,1781980800000,0.4842,0.5049130000000001,SL,-8.7756,7.14,12,55,53255648.48876999,0.5289,87.71,2,2026-06-20 18:13:00
BTWUSDT,1781982120000,1781982300000,0.17369,0.18112007222222223,SL,-8.7756,8.99,11,31,586073107.3875091,0.5378,250.21,3,2026-06-20 19:02:00
BICOUSDT,1781984280000,1781986080000,0.06016,0.06116,TIME,-3.5445,9.0,16,38,601691212.30545,0.5023,99.66,4,2026-06-20 19:38:00
BTWUSDT,1781986680000,1781987460000,0.16868,0.15897470554512153,TP,11.2873,10.38,15,61,627953902.950967,0.4868,90.62,4,2026-06-20 20:18:00
BTWUSDT,1781991000000,1781991300000,0.15432,0.14584193710202603,TP,10.7676,9.88,5,49,675584071.7720671,0.4914,121.58,5,2026-06-20 21:30:00
