symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
MYXUSDT,1752436860000,1752437880000,0.07653,0.07980378333333334,SL,-8.7756,7.39,17,28,155805187.16226,0.5184,58.28,2,2025-07-13 20:01:00
HIPPOUSDT,1752439440000,1752440100000,0.002276,0.002373362222222222,SL,-8.7756,9.58,10,30,48686104.82353699,0.523,89.49,2,2025-07-13 20:44:00
USUALUSDT,1752444300000,1752446100000,0.1026,0.102,TIME,0.9496,8.05,8,42,118737893.75289999,0.5096,89.39,4,2025-07-13 22:05:00
DRIFTUSDT,1752452760000,1752454560000,0.4706,0.4738,TIME,-1.58,8.58,20,14,23927021.7606,0.5378,93.64,1,2025-07-14 00:26:00
HIPPOUSDT,1752455160000,1752456960000,0.002382,0.002363,TIME,1.3753,8.62,4,61,73486432.614136,0.4855,52.86,3,2025-07-14 01:06:00
HAEDALUSDT,1752456480000,1752458280000,0.16823,0.173098,TIME,-6.0073,11.57,40,19,29577501.672551,0.4865,85.1,1,2025-07-14 01:28:00
USUALUSDT,1752456600000,1752458400000,0.1062,0.1074,TIME,-2.4799,9.77,13,59,196367059.25329998,0.4738,90.91,3,2025-07-14 01:30:00
USUALUSDT,1752471900000,1752473400000,0.1144,0.10823035091753523,TP,10.5661,9.68,5,9,289539683.4053,0.4974,110.28,3,2025-07-14 05:45:00
INITUSDT,1752472320000,1752474120000,0.529,0.5277,TIME,0.2715,11.32,15,20,58345511.6258,0.5276,119.86,1,2025-07-14 05:52:00
HIPPOUSDT,1752473340000,1752473700000,0.002481,0.002587131666666667,SL,-8.7756,13.35,16,7,100773200.44900998,0.4986,140.48,2,2025-07-14 06:09:00
USUALUSDT,1752473460000,1752475260000,0.1095,0.1071,TIME,4.1636,7.36,13,44,312235328.94769996,0.4834,130.63,3,2025-07-14 06:11:00
THEUSDT,1752473520000,1752475320000,0.3068,0.3087,TIME,-1.4586,7.35,22,62,11797132.47254,0.4088,39.52,2,2025-07-14 06:12:00
BIOUSDT,1752475320000,1752477120000,0.07078,0.07159,TIME,-2.5088,8.07,3,77,33667058.90055,0.4773,63.2,1,2025-07-14 06:42:00
HIPPOUSDT,1752481320000,1752483120000,0.002475,0.002504,TIME,-2.5634,12.9,20,113,130259289.676168,0.4817,80.24,2,2025-07-14 08:22:00
AIOTUSDT,1752484200000,1752486000000,0.2617,0.26297,TIME,-1.1906,8.63,16,54,18709424.65757,0.5018,79.64,1,2025-07-14 09:10:00
BANANAS31USDT,1752486960000,1752488760000,0.008693,0.008734,TIME,-1.1633,10.03,21,64,308858692.119679,0.4716,86.55,1,2025-07-14 09:56:00
TANSSIUSDT,1752495660000,1752497460000,0.05605,0.05606,TIME,-0.2557,8.4,10,43,50793885.2642,0.4926,85.44,1,2025-07-14 12:21:00
PUMPUSDT,1752511800000,1752511860000,0.005454,0.00568731,SL,-8.7756,7.99,11,66,545919601.424737,0.4948,92.66,1,2025-07-14 16:50:00
PUMPUSDT,1752515820000,1752516960000,0.005347,0.005575732777777778,SL,-8.7756,17.01,10,44,962917051.53497,0.4936,138.4,2,2025-07-14 17:57:00
TURBOUSDT,1752524160000,1752525960000,0.0060754,0.0061633,TIME,-3.1136,10.86,9,91,820286483.8581327,0.4991,43.08,1,2025-07-14 20:16:00
CROSSUSDT,1752527220000,1752529020000,0.1629,0.16516,TIME,-2.9947,7.04,15,32,108361553.0539,0.4958,81.49,1,2025-07-14 21:07:00
KNCUSDT,1752541740000,1752543540000,0.4702,0.4717,TIME,-0.858,9.43,20,25,128743931.1702,0.5056,73.84,1,2025-07-15 01:09:00
AVAAIUSDT,1752546180000,1752546360000,0.04826,0.045811300514212124,TP,9.9279,9.07,14,7,156041146.29734,0.5073,80.37,1,2025-07-15 02:23:00
THEUSDT,1752558660000,1752559800000,0.3565,0.37175027777777775,SL,-8.7756,7.37,14,61,81728098.19102,0.4851,55.46,2,2025-07-15 05:51:00
BANKUSDT,1752562260000,1752563520000,0.053486,0.055774012222222225,SL,-8.7756,8.88,5,105,17258832.564359,0.4292,41.52,1,2025-07-15 06:51:00
CROSSUSDT,1752571920000,1752573720000,0.20172,0.20599,TIME,-4.4536,9.83,16,77,328655733.66185,0.4961,83.71,3,2025-07-15 09:32:00
VELVETUSDT,1752575940000,1752577740000,0.07902,0.07794,TIME,2.5135,12.18,7,77,30084375.734209996,0.4889,123.81,2,2025-07-15 10:39:00
VELVETUSDT,1752581220000,1752582000000,0.07748,0.08079442222222222,SL,-8.7756,7.28,18,17,45876148.03522,0.4927,114.33,3,2025-07-15 12:07:00
TACUSDT,1752581400000,1752581940000,0.01862,0.019416522222222225,SL,-8.7756,36.18,25,75,72134074.76249,0.4681,157.89,1,2025-07-15 12:10:00
AIOTUSDT,1752584460000,1752584700000,0.17077,0.17807516111111113,SL,-8.7756,8.23,18,27,12266704.28432,0.4711,118.5,1,2025-07-15 13:01:00
TACUSDT,1752586680000,1752587100000,0.01903,0.01984406111111111,SL,-8.7756,8.14,9,43,93544935.71105999,0.4756,118.88,2,2025-07-15 13:38:00
SWELLUSDT,1752591540000,1752591600000,0.0112,0.01167911111111111,SL,-8.7756,8.11,6,113,19139829.89062,0.4492,105.99,1,2025-07-15 14:59:00
AIUSDT,1752604620000,1752606420000,0.15284,0.15517,TIME,-3.2689,7.6,30,56,14444956.372250002,0.4561,57.05,1,2025-07-15 18:37:00
OMNIUSDT,1752604860000,1752606660000,2.895,2.934,TIME,-2.9143,7.93,22,115,69159865.85508,0.4586,23.6,1,2025-07-15 18:41:00
TACUSDT,1752607980000,1752608880000,0.02122,0.020334510637027965,TP,8.1258,7.36,20,15,154272763.03961,0.4934,88.65,3,2025-07-15 19:33:00
REZUSDT,1752609720000,1752610920000,0.01347,0.014046216666666667,SL,-8.7756,8.12,3,46,53632238.95056,0.4939,94.95,3,2025-07-15 20:02:00
TACUSDT,1752613320000,1752614400000,0.02018,0.021043255555555557,SL,-8.7756,7.62,7,66,168329055.82882002,0.501,60.94,3,2025-07-15 21:02:00
PORT3USDT,1752613620000,1752615420000,0.02231,0.02223,TIME,0.4972,8.86,2,7,6887928.78647,0.4466,117.07,1,2025-07-15 21:07:00
HFTUSDT,1752624060000,1752625440000,0.09095,0.08724545520573772,TP,7.9263,7.18,11,107,75271948.42484,0.4261,39.02,1,2025-07-16 00:01:00
THEUSDT,1752624720000,1752626520000,0.4975,0.4986,TIME,-0.6622,7.06,15,87,697852170.54133,0.477,38.35,3,2025-07-16 00:12:00
DODOXUSDT,1752662580000,1752664380000,0.050377,0.049608,TIME,2.833,7.2,26,20,15078378.09347,0.504,55.56,1,2025-07-16 10:43:00
TANSSIUSDT,1752678300000,1752680100000,0.06077,0.06035,TIME,1.1623,7.05,8,22,37436409.2327,0.4739,79.35,1,2025-07-16 15:05:00
CUSDT,1752681300000,1752682680000,0.1628,0.16976422222222223,SL,-8.7756,7.28,15,54,406632282.39951,0.502,60.84,2,2025-07-16 15:55:00
LEVERUSDT,1752689940000,1752691080000,0.0002673,0.0002429719430460188,TP,17.9828,17.24,32,40,52961184.95791969,0.4843,120.38,4,2025-07-16 18:19:00
HAEDALUSDT,1752700860000,1752702660000,0.236009,0.240075,TIME,-3.6656,10.63,44,67,78918818.80117401,0.449,47.96,1,2025-07-16 21:21:00
THEUSDT,1752713400000,1752715200000,0.4894,0.5012,TIME,-5.0422,8.98,21,86,213985344.2371,0.5056,42.73,1,2025-07-17 00:50:00
LEVERUSDT,1752713460000,1752715260000,0.0002076,0.0002082,TIME,-0.798,8.23,25,45,79356501.334252,0.5132,75.03,1,2025-07-17 00:51:00
TANSSIUSDT,1752716760000,1752718560000,0.06569,0.06532,TIME,0.9065,8.89,14,8,55327009.671050005,0.4948,97.84,1,2025-07-17 01:46:00
MOODENGUSDT,1752722700000,1752724500000,0.20619,0.20564,TIME,0.3135,8.05,24,73,201453103.35028002,0.4703,54.02,1,2025-07-17 03:25:00
CROSSUSDT,1752723420000,1752725220000,0.23338,0.22959,TIME,3.0279,10.6,9,37,142015843.79795998,0.5177,98.41,1,2025-07-17 03:37:00
HAEDALUSDT,1752749220000,1752751020000,0.226819,0.22106,TIME,4.8581,8.47,9,74,373001974.925243,0.4987,51.95,1,2025-07-17 10:47:00
MUSDT,1752750120000,1752751140000,0.3613,0.3767556111111111,SL,-8.7756,7.27,11,39,154048799.36749998,0.5158,82.67,3,2025-07-17 11:02:00
HMSTRUSDT,1752766260000,1752768060000,0.00095,0.000928,TIME,4.4116,7.54,23,115,157794614.92641002,0.4893,38.69,3,2025-07-17 15:31:00
1000FLOKIUSDT,1752769140000,1752770940000,0.13268,0.1308,TIME,2.6139,9.15,22,74,801158874.0712999,0.4859,50.26,1,2025-07-17 16:19:00
ERAUSDT,1752772320000,1752774120000,1.4825,1.5085,TIME,-3.7276,11.93,18,29,685666236.9484998,0.5014,149.82,3,2025-07-17 17:12:00
CROSSUSDT,1752776040000,1752776580000,0.32618,0.34013325555555557,SL,-8.7756,10.89,9,9,292904513.6707001,0.5404,161.14,2,2025-07-17 18:14:00
ERAUSDT,1752787080000,1752788880000,1.7367,1.7113,TIME,2.7051,10.55,12,86,1605717377.1567001,0.4982,77.68,5,2025-07-17 21:18:00
EPICUSDT,1752790800000,1752792600000,1.1549,1.1875,TIME,-5.8655,7.44,26,19,20424118.06301,0.498,74.36,1,2025-07-17 22:20:00
ERAUSDT,1752798780000,1752799680000,1.597,1.5262095179219,TP,8.6454,7.85,31,111,1936070599.1874,0.4997,62.52,3,2025-07-18 00:33:00
VELVETUSDT,1752805740000,1752807540000,0.07787,0.07857,TIME,-2.0179,7.16,15,8,73867324.35475,0.503,106.79,3,2025-07-18 02:29:00
ERAUSDT,1752807000000,1752808800000,1.4864,1.52,TIME,-4.741,7.57,11,44,2161344750.471,0.5173,66.61,2,2025-07-18 02:50:00
TACUSDT,1752812160000,1752813960000,0.01552,0.01574,TIME,-3.0551,12.24,37,59,61818056.00778999,0.4223,89.52,2,2025-07-18 04:16:00
EPICUSDT,1752824400000,1752825000000,1.2813,1.3361111666666667,SL,-8.7756,9.69,12,94,43154230.21674,0.5,51.98,1,2025-07-18 07:40:00
VELVETUSDT,1752827520000,1752828120000,0.08273,0.07775199143968849,TP,11.8143,10.9,14,10,91541335.69863999,0.5034,154.48,4,2025-07-18 08:32:00
VELVETUSDT,1752828180000,1752829260000,0.07781,0.07167249458473242,TP,15.5556,14.68,18,37,95475047.86648,0.4789,206.28,3,2025-07-18 08:43:00
CROSSUSDT,1752831120000,1752832920000,0.28017,0.26683,TIME,9.3028,17.83,17,92,783301293.5215299,0.4922,82.56,2,2025-07-18 09:32:00
AINUSDT,1752832740000,1752834300000,0.14732,0.15362202222222224,SL,-8.7756,7.34,8,30,66072261.804019995,0.4672,82.45,2,2025-07-18 09:59:00
TACUSDT,1752838200000,1752838320000,0.01723,0.015469202919587715,TP,20.2187,19.68,11,64,97176297.24997,0.4667,119.7,2,2025-07-18 11:30:00
CUSDT,1752838260000,1752838680000,0.44498,0.46401525555555556,SL,-8.7756,14.4,12,41,933666695.2133701,0.4947,213.73,7,2025-07-18 11:31:00
FUSDT,1752838440000,1752840240000,0.009072,0.009301,TIME,-5.2685,7.3,8,12,7159777.016032999,0.4635,72.15,1,2025-07-18 11:34:00
VELVETUSDT,1752838440000,1752840240000,0.06991,0.0707,TIME,-2.48,8.19,8,114,114895298.09724,0.4468,79.1,3,2025-07-18 11:34:00
AIOTUSDT,1752844080000,1752845220000,0.30647,0.29154315403027276,TP,9.5211,8.68,11,6,65896975.11578,0.5263,97.68,1,2025-07-18 13:08:00
LOKAUSDT,1752847200000,1752849000000,0.1023,0.10306,TIME,-1.7058,10.16,13,12,29654894.07911,0.4882,126.04,2,2025-07-18 14:00:00
CUSDT,1752847380000,1752847440000,0.45871,0.4783325944444445,SL,-8.7756,10.34,21,73,1328046549.77816,0.4935,169.72,9,2025-07-18 14:03:00
CUSDT,1752847560000,1752847740000,0.47541,0.49574698333333334,SL,-8.7756,8.39,4,6,1361607548.7671301,0.501,180.42,10,2025-07-18 14:06:00
CUSDT,1752848580000,1752849120000,0.45622,0.42456822013600437,TP,13.6557,12.73,8,12,1456579029.3919199,0.5013,196.8,11,2025-07-18 14:23:00
CUSDT,1752851700000,1752852060000,0.40362,0.3815655226079991,TP,10.7083,9.82,11,27,1661824664.8043501,0.4891,173.36,9,2025-07-18 15:15:00
VELVETUSDT,1752851880000,1752853620000,0.07418,0.07735325555555556,SL,-8.7756,8.69,5,32,119290299.85395,0.4724,106.05,2,2025-07-18 15:18:00
BANKUSDT,1752859260000,1752860700000,0.079428,0.07565978573961256,TP,9.2684,8.44,4,26,58210336.694487,0.4923,304.37,2,2025-07-18 17:21:00
USTCUSDT,1752861240000,1752863040000,0.015581,0.016008,TIME,-5.701,16.3,32,112,47507906.642174,0.4484,41.87,2,2025-07-18 17:54:00
BANKUSDT,1752865320000,1752867120000,0.066845,0.067771,TIME,-2.9906,7.38,7,54,94362641.17208199,0.5007,98.1,3,2025-07-18 19:02:00
EPICUSDT,1752872280000,1752873420000,2.4096,2.2510305705028375,TP,12.9415,12.01,10,11,371598537.40470004,0.5201,269.48,5,2025-07-18 20:58:00
TANSSIUSDT,1752872400000,1752874200000,0.06734,0.06781,TIME,-1.6159,7.6,24,7,33486669.71182,0.4943,91.87,1,2025-07-18 21:00:00
AIOTUSDT,1752877380000,1752879180000,0.29949,0.30029,TIME,-0.7542,9.99,5,48,65686608.53659999,0.5209,128.91,1,2025-07-18 22:23:00
CUSDT,1752887520000,1752888600000,0.3086,0.32180122222222224,SL,-8.7756,8.49,9,64,2292932409.19969,0.5076,69.84,1,2025-07-19 01:12:00
BIDUSDT,1752890400000,1752892200000,0.09081,0.09175,TIME,-2.2903,7.99,7,36,31422593.915299997,0.5198,71.9,1,2025-07-19 02:00:00
LOKAUSDT,1752893340000,1752895140000,0.11641,0.11432,TIME,3.3708,10.84,25,85,80032668.37459001,0.509,88.63,2,2025-07-19 02:49:00
EPICUSDT,1752893340000,1752893400000,2.2491,2.1232850893234434,TP,10.968,10.07,20,91,637994502.80575,0.4885,76.8,6,2025-07-19 02:49:00
1000000BOBUSDT,1752901800000,1752901860000,0.05369,0.055986738888888894,SL,-8.7756,11.63,19,6,22662361.89311,0.4986,92.71,1,2025-07-19 05:10:00
EPICUSDT,1752912420000,1752914220000,1.9253,1.9084,TIME,1.5356,8.17,17,91,864407262.72602,0.5065,63.04,3,2025-07-19 08:07:00
ACXUSDT,1752923700000,1752925500000,0.2096,0.2094,TIME,-0.0292,8.72,8,81,63127747.26318,0.4933,51.98,3,2025-07-19 11:15:00
EPICUSDT,1752927180000,1752928980000,1.9274,1.9439,TIME,-1.9322,7.43,12,27,968870623.87081,0.5083,67.92,3,2025-07-19 12:13:00
HEIUSDT,1752938640000,1752939240000,0.3761,0.35946095942549966,TP,8.6282,7.83,8,44,58123714.49333,0.5051,84.6,1,2025-07-19 15:24:00
DIAUSDT,1752950640000,1752952440000,0.4873,0.478,TIME,3.597,10.69,14,25,50612461.5315,0.4706,123.43,1,2025-07-19 18:44:00
PORT3USDT,1752985020000,1752986820000,0.02262,0.02269,TIME,-0.8389,7.07,27,57,4288648.66295,0.4379,57.89,1,2025-07-20 04:17:00
PUFFERUSDT,1753010220000,1753012020000,0.25,0.25474,TIME,-4.012,12.74,20,84,62370660.45259999,0.4637,77.83,1,2025-07-20 11:17:00
SWELLUSDT,1753027020000,1753027080000,0.01061,0.011063872222222222,SL,-8.7756,11.31,14,12,16542295.99887,0.6916,88.18,1,2025-07-20 15:57:00
SWELLUSDT,1753027200000,1753027380000,0.01168,0.012179644444444445,SL,-8.7756,14.65,24,5,21699439.081839997,0.5969,361.58,1,2025-07-20 16:00:00
AGTUSDT,1753033680000,1753035480000,0.004947,0.004922,TIME,0.7907,7.85,7,17,17032881.958902,0.4133,196.2,1,2025-07-20 17:48:00
CKBUSDT,1753033680000,1753035480000,0.006656,0.00653,TIME,3.5661,8.35,10,48,171957344.494918,0.4804,91.54,4,2025-07-20 17:48:00
CFXUSDT,1753034040000,1753034820000,0.21288,0.20416892159719366,TP,7.964,7.21,7,56,1346837737.5598302,0.5051,97.5,5,2025-07-20 17:54:00
ACHUSDT,1753034040000,1753035840000,0.027363,0.027384,TIME,-0.3735,13.47,9,59,113856697.50021002,0.4685,91.64,2,2025-07-20 17:54:00
DIAUSDT,1753034100000,1753034340000,0.7925,0.7540496403954012,TP,9.4836,8.64,7,9,222846983.6484,0.4894,240.04,3,2025-07-20 17:55:00
CFXUSDT,1753034880000,1753036560000,0.20636,0.2151876222222222,SL,-8.7756,11.77,7,80,1447815891.0997899,0.4828,136.45,5,2025-07-20 18:08:00
PHBUSDT,1753035360000,1753037160000,0.7416,0.7543,TIME,-3.645,13.41,11,39,93613042.668,0.4893,109.33,2,2025-07-20 18:16:00
CKBUSDT,1753035780000,1753037580000,0.006347,0.006376,TIME,-1.1338,15.29,13,111,190392182.20025402,0.4529,66.86,4,2025-07-20 18:23:00
CUSDT,1753046760000,1753047960000,0.32136,0.3076861674151368,TP,8.29,7.52,10,44,405513175.43397,0.4992,97.03,3,2025-07-20 21:26:00
DIAUSDT,1753048680000,1753050300000,0.7764,0.8096126666666666,SL,-8.7756,9.15,19,86,306759178.8321,0.4769,57.41,5,2025-07-20 21:58:00
PORT3USDT,1753053120000,1753054200000,0.02802,0.029218633333333334,SL,-8.7756,9.7,17,92,14569739.9031,0.474,74.0,2,2025-07-20 23:12:00
CFXUSDT,1753057320000,1753059120000,0.21317,0.21643,TIME,-3.2786,7.65,17,79,1909189515.9107702,0.4852,53.91,3,2025-07-21 00:22:00
OMUSDT,1753062600000,1753064400000,0.33896,0.34364,TIME,-2.9814,7.34,18,59,615068894.2544099,0.4749,48.54,4,2025-07-21 01:50:00
DIAUSDT,1753065240000,1753066020000,0.9945,1.0370425,SL,-8.7756,11.82,8,27,412681364.77589995,0.491,126.08,6,2025-07-21 02:34:00
SPKUSDT,1753065900000,1753067700000,0.04119,0.04159,TIME,-2.1622,7.43,20,100,34432294.19261,0.4341,37.36,1,2025-07-21 02:45:00
DIAUSDT,1753068120000,1753069800000,0.9875,0.9372920942125355,TP,9.9487,9.09,15,31,444131935.7604,0.4915,104.59,6,2025-07-21 03:22:00
CFXUSDT,1753069500000,1753071300000,0.22693,0.22884,TIME,-1.9033,7.02,13,38,2147527689.97159,0.5215,76.46,3,2025-07-21 03:45:00
DIAUSDT,1753077480000,1753077900000,0.9411,0.9813581666666668,SL,-8.7756,8.54,19,103,505566398.6483,0.4854,58.7,6,2025-07-21 05:58:00
SPKUSDT,1753081260000,1753083060000,0.04209,0.04134,TIME,3.3438,11.44,23,68,62608656.67741001,0.4713,62.56,2,2025-07-21 07:01:00
LOKAUSDT,1753085640000,1753087440000,0.11332,0.11521,TIME,-3.5557,7.19,11,11,19565173.63853,0.4721,87.52,1,2025-07-21 08:14:00
TAUSDT,1753087800000,1753088520000,0.1509,0.15735516666666668,SL,-8.7756,7.02,6,57,51899815.2966,0.4709,173.53,2,2025-07-21 08:50:00
TAUSDT,1753088580000,1753088940000,0.1556,0.14709983728689027,TP,10.7057,9.82,12,81,58304854.4763,0.4804,177.82,2,2025-07-21 09:03:00
EPICUSDT,1753089060000,1753089840000,2.5521,2.342151885656739,TP,16.233,15.38,26,63,469823097.27482,0.4867,109.35,1,2025-07-21 09:11:00
ANIMEUSDT,1753103880000,1753105680000,0.02327,0.02316,TIME,0.7254,7.24,11,99,127662744.78532001,0.4934,42.65,2,2025-07-21 13:18:00
MYXUSDT,1753107420000,1753108980000,0.09986,0.0957309729414683,TP,8.0496,7.29,17,101,52041815.494839996,0.4932,67.02,1,2025-07-21 14:17:00
UMAUSDT,1753110540000,1753112340000,1.515,1.501,TIME,1.6282,7.35,6,19,54471304.905,0.507,113.71,2,2025-07-21 15:09:00
TAUSDT,1753127940000,1753129620000,0.1036,0.10803177777777778,SL,-8.7756,9.45,28,43,184428044.5367,0.4931,72.23,1,2025-07-21 19:59:00
MOODENGUSDT,1753143960000,1753145760000,0.23041,0.22423,TIME,5.1444,7.49,21,52,282607005.43259,0.4519,64.81,1,2025-07-22 00:26:00
MOCAUSDT,1753146840000,1753148640000,0.09206,0.09169,TIME,0.5838,7.27,12,61,29023919.29186,0.5017,51.22,1,2025-07-22 01:14:00
SPKUSDT,1753149840000,1753151640000,0.06245,0.06156,TIME,2.6303,7.17,11,62,320921967.01432,0.4723,74.31,3,2025-07-22 02:04:00
DIAUSDT,1753152900000,1753154700000,1.1014,1.1186,TIME,-3.3433,7.68,40,39,835055446.258,0.4982,65.86,3,2025-07-22 02:55:00
PIPPINUSDT,1753153800000,1753155600000,0.02422,0.02376,TIME,3.5785,13.39,29,25,50443367.594620004,0.4873,103.21,2,2025-07-22 03:10:00
TAUSDT,1753180020000,1753181820000,0.1064,0.1064,TIME,-0.22,9.83,24,24,176844939.0879,0.5022,103.42,2,2025-07-22 10:27:00
ZKJUSDT,1753200660000,1753202460000,0.2082,0.2102,TIME,-2.1412,7.44,24,59,28062086.064799998,0.4673,71.1,1,2025-07-22 16:11:00
PIPPINUSDT,1753204020000,1753205820000,0.02252,0.0209,TIME,14.1672,23.13,61,10,156416234.98567003,0.5057,142.06,1,2025-07-22 17:07:00
OLUSDT,1753205460000,1753207260000,0.03507,0.0354,TIME,-2.102,7.09,12,77,6391279.755799999,0.4248,45.99,1,2025-07-22 17:31:00
AINUSDT,1753209480000,1753211040000,0.14954,0.14250774283462256,TP,9.1852,8.36,22,6,46515238.72665,0.4442,66.8,1,2025-07-22 18:38:00
SPKUSDT,1753209720000,1753210080000,0.09124,0.09514304444444445,SL,-8.7756,8.66,6,20,1526133545.35187,0.5122,130.06,2,2025-07-22 18:42:00
CUSDT,1753210020000,1753211820000,0.3569,0.35511,TIME,0.7831,7.96,23,42,396217042.64396,0.4788,90.96,1,2025-07-22 18:47:00
SYNUSDT,1753221000000,1753221600000,0.1961,0.20448872222222222,SL,-8.7756,9.29,13,23,133975370.61819999,0.4908,131.0,4,2025-07-22 21:50:00
SXTUSDT,1753221240000,1753223040000,0.09111,0.09091,TIME,0.219,7.6,28,34,19422294.94048,0.456,76.81,1,2025-07-22 21:54:00
CUSDT,1753247220000,1753249020000,0.436,0.44063,TIME,-2.3439,7.25,14,37,606847479.94564,0.5071,73.95,2,2025-07-23 05:07:00
PIPPINUSDT,1753249800000,1753250040000,0.02402,0.025047522222222222,SL,-8.7756,20.87,25,61,206159335.70887,0.4948,250.36,3,2025-07-23 05:50:00
PIPPINUSDT,1753250100000,1753250520000,0.02426,0.022203441607603618,TP,16.7343,15.91,9,8,215573630.82655,0.4879,271.05,4,2025-07-23 05:55:00
PIPPINUSDT,1753250580000,1753251060000,0.02307,0.021412821475632903,TP,14.1465,13.23,12,103,220594660.20398,0.4793,277.81,4,2025-07-23 06:03:00
RESOLVUSDT,1753250820000,1753252620000,0.20808,0.20444,TIME,3.2787,9.9,27,101,228268433.86486,0.438,51.33,1,2025-07-23 06:07:00
DOLOUSDT,1753251420000,1753253220000,0.080062,0.082127,TIME,-5.3785,7.21,8,59,31682240.708511002,0.4752,77.25,2,2025-07-23 06:17:00
THEUSDT,1753252200000,1753253520000,0.4701,0.45099499623561795,TP,7.9081,7.16,12,16,44943141.92927,0.5028,83.42,1,2025-07-23 06:30:00
PIPPINUSDT,1753259640000,1753261440000,0.01982,0.01995,TIME,-1.5318,10.6,18,95,272405643.21369004,0.4509,73.48,5,2025-07-23 08:34:00
DOLOUSDT,1753271880000,1753272360000,0.085638,0.08206704940573895,TP,8.1196,7.36,6,39,82032492.31653,0.4895,90.49,1,2025-07-23 11:58:00
SPKUSDT,1753272000000,1753272300000,0.15158,0.14400254036248042,TP,9.778,8.92,10,29,2985314343.8846397,0.5124,195.61,5,2025-07-23 12:00:00
PORT3USDT,1753278300000,1753278780000,0.04215,0.04395308333333334,SL,-8.7756,10.47,21,40,47763924.76697,0.5005,115.6,3,2025-07-23 13:45:00
SOPHUSDT,1753278960000,1753280760000,0.043043,0.042995,TIME,0.003,9.64,23,15,111933060.44333,0.464,93.71,1,2025-07-23 13:56:00
NEWTUSDT,1753279200000,1753279860000,0.4015,0.4186752777777778,SL,-8.7756,16.75,24,26,170085186.2862,0.4835,123.6,3,2025-07-23 14:00:00
TAUSDT,1753284420000,1753286220000,0.1005,0.1032,TIME,-5.5931,9.64,18,24,69914144.3502,0.4788,74.03,1,2025-07-23 15:27:00
PORT3USDT,1753285020000,1753285080000,0.04478,0.04279034162710344,TP,8.6664,7.87,9,40,61627450.493429996,0.4937,100.18,5,2025-07-23 15:37:00
SAHARAUSDT,1753285260000,1753287060000,0.14926,0.14321353214197308,TP,7.8819,7.14,6,8,1058852208.47609,0.4878,110.95,6,2025-07-23 15:41:00
NEWTUSDT,1753286400000,1753288200000,0.4237,0.4159,TIME,3.4619,10.43,17,51,245184817.00449997,0.4885,98.65,5,2025-07-23 16:00:00
DOODUSDT,1753287240000,1753287360000,0.0054123,0.0050904934534956574,TP,11.6717,10.76,20,5,37304529.6032874,0.5046,138.12,1,2025-07-23 16:14:00
SLPUSDT,1753293240000,1753293900000,0.002123,0.0022138172222222223,SL,-8.7756,10.11,8,105,32239710.483927004,0.4875,61.41,1,2025-07-23 17:54:00
SXTUSDT,1753303200000,1753305000000,0.11093,0.11099,TIME,-0.3282,12.1,14,61,152605683.65469,0.4716,84.98,2,2025-07-23 20:40:00
SOPHUSDT,1753303620000,1753305420000,0.042124,0.042624,TIME,-2.5939,7.28,26,22,158060065.617451,0.4724,58.29,1,2025-07-23 20:47:00
SLPUSDT,1753305960000,1753306380000,0.002169,0.002261785,SL,-8.7756,7.43,22,57,47934063.185995996,0.5005,74.15,2,2025-07-23 21:26:00
FUSDT,1753310220000,1753312020000,0.00982,0.010032,TIME,-4.5377,7.38,16,19,9666459.732245998,0.4689,105.44,1,2025-07-23 22:37:00
SPKUSDT,1753312500000,1753313760000,0.16774,0.17491554444444446,SL,-8.7756,7.44,14,90,3756568434.0466,0.4976,63.87,1,2025-07-23 23:15:00
VELVETUSDT,1753316280000,1753318080000,0.08407,0.08182,TIME,5.1327,7.97,9,9,55939429.256450005,0.5006,89.84,3,2025-07-24 00:18:00
CUSDT,1753317000000,1753318800000,0.4067,0.40453,TIME,0.8471,7.11,17,70,517606296.35497,0.5059,47.59,1,2025-07-24 00:30:00
SAHARAUSDT,1753317180000,1753318980000,0.1303,0.1316,TIME,-2.2154,7.8,18,54,1714953633.9799201,0.4963,98.02,3,2025-07-24 00:33:00
VELVETUSDT,1753318800000,1753319040000,0.07946,0.07541621783929112,TP,9.9582,9.1,17,110,59686318.49559,0.4864,86.33,3,2025-07-24 01:00:00
SAHARAUSDT,1753327320000,1753329120000,0.15158,0.15115,TIME,0.3474,7.04,6,51,1945343869.4159799,0.4984,97.12,7,2025-07-24 03:22:00
ERAUSDT,1753328820000,1753330620000,1.4386,1.4208,TIME,2.2546,8.15,19,21,373493255.773,0.506,71.67,1,2025-07-24 03:47:00
SAHARAUSDT,1753330500000,1753332300000,0.1432,0.13911,TIME,5.4923,10.18,12,116,2018854185.61937,0.4661,75.31,6,2025-07-24 04:15:00
NEWTUSDT,1753333560000,1753334100000,0.441,0.459865,SL,-8.7756,13.72,15,50,423409039.37670004,0.4776,104.88,1,2025-07-24 05:06:00
AWEUSDT,1753333620000,1753335420000,0.060621,0.061764,TIME,-3.991,8.27,21,99,18586520.236096002,0.4814,42.2,1,2025-07-24 05:07:00
SAHARAUSDT,1753339140000,1753339680000,0.12053,0.1152324920062372,TP,8.5704,7.78,26,25,2194921924.44552,0.4973,87.18,5,2025-07-24 06:39:00
