symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,entry_at
WIFUSDT,1747617000000,1747618800000,0.9963,0.9831,TIME,2.4298,7.77,2025-05-19 01:10:00
PEOPLEUSDT,1747618080000,1747619880000,0.02543,0.02531,TIME,0.7238,7.98,2025-05-19 01:28:00
MOODENGUSDT,1747679460000,1747681260000,0.23634,0.23738,TIME,-1.1001,7.85,2025-05-19 18:31:00
ALCHUSDT,1747760460000,1747761960000,0.11777,0.11064788406922173,TP,11.875,10.96,2025-05-20 17:01:00
ALCHUSDT,1747777620000,1747779240000,0.15954,0.16636476666666666,SL,-8.7756,9.42,2025-05-20 21:47:00
WCTUSDT,1747789080000,1747790880000,0.6952,0.6718,TIME,6.5119,8.58,2025-05-21 00:58:00
SXTUSDT,1747807380000,1747809060000,0.1354,0.1411921111111111,SL,-8.7756,7.67,2025-05-21 06:03:00
GRIFFAINUSDT,1747812120000,1747813920000,0.10413,0.10369,TIME,0.6251,7.27,2025-05-21 07:22:00
CHILLGUYUSDT,1747813020000,1747814820000,0.09267,0.09129,TIME,2.7583,8.27,2025-05-21 07:37:00
HAEDALUSDT,1747839600000,1747839720000,0.192244,0.2004677711111111,SL,-8.7756,7.81,2025-05-21 15:00:00
HAEDALUSDT,1747842120000,1747843920000,0.190245,0.180914,TIME,9.5895,14.9,2025-05-21 15:42:00
AI16ZUSDT,1747848060000,1747849860000,0.3128,0.3079,TIME,2.913,7.72,2025-05-21 17:21:00
ARCUSDT,1747848300000,1747850100000,0.06557,0.0635,TIME,6.0939,11.06,2025-05-21 17:25:00
WLDUSDT,1747848480000,1747850280000,1.1465,1.1478,TIME,-0.4468,10.82,2025-05-21 17:28:00
ORDIUSDT,1747848540000,1747850340000,10.186,10.2,TIME,-0.4949,9.6,2025-05-21 17:29:00
AVAAIUSDT,1747849380000,1747851180000,0.06731,0.06442,TIME,8.3671,9.46,2025-05-21 17:43:00
AGTUSDT,1747875000000,1747875360000,0.032605,0.031087864430832942,TP,9.0862,8.27,2025-05-22 00:50:00
AGTUSDT,1747875960000,1747877580000,0.02872,0.029948577777777777,SL,-8.7756,11.48,2025-05-22 01:06:00
CETUSUSDT,1747914000000,1747914360000,0.16769,0.15918148857633846,TP,9.9279,9.07,2025-05-22 11:40:00
CETUSUSDT,1747926900000,1747928700000,0.17714,0.17182,TIME,5.7865,7.12,2025-05-22 15:15:00
AGTUSDT,1747963320000,1747965120000,0.032528,0.031945,TIME,3.3646,7.15,2025-05-23 01:22:00
BUSDT,1747980540000,1747982340000,0.28251,0.2837,TIME,-1.0624,8.19,2025-05-23 06:09:00
BUSDT,1747997940000,1747998300000,0.21034,0.20175002120854213,TP,7.9477,7.2,2025-05-23 10:59:00
BUSDT,1748001060000,1748001300000,0.17104,0.17835671111111112,SL,-8.7756,8.46,2025-05-23 11:51:00
BUSDT,1748018280000,1748020080000,0.26961,0.26459,TIME,3.5039,8.55,2025-05-23 16:38:00
FLMUSDT,1748089680000,1748091480000,0.0373,0.0379,TIME,-3.4372,7.49,2025-05-24 12:28:00
BUSDT,1748235060000,1748236860000,0.41148,0.41986,TIME,-4.2931,7.96,2025-05-26 04:51:00
HIPPOUSDT,1748268900000,1748270700000,0.003063,0.003059,TIME,0.0412,9.91,2025-05-26 14:15:00
LEVERUSDT,1748275200000,1748277000000,0.0005387,0.0005361,TIME,0.7453,16.46,2025-05-26 16:00:00
COSUSDT,1748293380000,1748295180000,0.003489,0.003484,TIME,0.0666,15.51,2025-05-26 21:03:00
AGTUSDT,1748346900000,1748348700000,0.034925,0.034651,TIME,1.3491,7.63,2025-05-27 11:55:00
MEMEFIUSDT,1748401740000,1748403540000,0.001663,0.001658,TIME,0.3813,7.63,2025-05-28 03:09:00
NOTUSDT,1748441160000,1748442960000,0.002897,0.002923,TIME,-2.015,10.55,2025-05-28 14:06:00
SOPHUSDT,1748451900000,1748453700000,0.063805,0.063548,TIME,0.5856,9.6,2025-05-28 17:05:00
ZENUSDT,1748596620000,1748598000000,10.435,9.675252441629677,TP,14.3415,13.43,2025-05-30 09:17:00
LPTUSDT,1748598060000,1748598300000,9.685,10.099302777777778,SL,-8.7756,10.01,2025-05-30 09:41:00
LPTUSDT,1748600280000,1748600880000,9.107,9.496577222222221,SL,-8.7756,9.57,2025-05-30 10:18:00
ZENUSDT,1748610780000,1748612460000,10.031,10.46010388888889,SL,-8.7756,7.6,2025-05-30 13:13:00
AXLUSDT,1748611260000,1748613060000,0.3266,0.3243,TIME,1.1885,7.0,2025-05-30 13:21:00
RPLUSDT,1748612160000,1748613960000,5.526,5.546,TIME,-0.9439,7.06,2025-05-30 13:36:00
SSVUSDT,1748613240000,1748615040000,9.837,9.501,TIME,6.6114,9.95,2025-05-30 13:54:00
OGNUSDT,1748617260000,1748619060000,0.0703,0.0697,TIME,1.487,7.66,2025-05-30 15:01:00
MLNUSDT,1748619120000,1748620920000,9.09,9.05,TIME,0.6601,7.57,2025-05-30 15:32:00
PHBUSDT,1748622720000,1748622780000,0.5896,0.5615290910798402,TP,9.302,8.47,2025-05-30 16:32:00
LPTUSDT,1748622780000,1748623560000,10.869,10.401876406274358,TP,8.3755,7.6,2025-05-30 16:33:00
SOPHUSDT,1748624400000,1748626200000,0.057062,0.057413,TIME,-1.4502,9.42,2025-05-30 17:00:00
BIDUSDT,1748634660000,1748636460000,0.03873,0.03872,TIME,-0.1684,11.9,2025-05-30 19:51:00
LPTUSDT,1748649420000,1748649660000,11.736,12.238040000000002,SL,-8.7756,9.77,2025-05-30 23:57:00
DFUSDT,1748649840000,1748649900000,0.03221,0.033587872222222225,SL,-8.7756,8.38,2025-05-31 00:04:00
REIUSDT,1748654700000,1748656500000,0.01653,0.01706,TIME,-6.6326,7.92,2025-05-31 01:25:00
REIUSDT,1748661660000,1748662200000,0.01844,0.017650703187443207,TP,8.3407,7.56,2025-05-31 03:21:00
REIUSDT,1748662260000,1748664060000,0.01722,0.01741,TIME,-2.4267,7.28,2025-05-31 03:31:00
AIOTUSDT,1748663820000,1748664360000,0.20171,0.1930047479868919,TP,8.4115,7.63,2025-05-31 03:57:00
WCTUSDT,1748678760000,1748679000000,1.2432,1.1900959499620798,TP,8.3231,7.55,2025-05-31 08:06:00
DFUSDT,1748680140000,1748681940000,0.04188,0.04253,TIME,-3.3241,7.4,2025-05-31 08:29:00
1000WHYUSDT,1748687700000,1748687820000,3.46e-05,3.3063388712230215e-05,TP,8.6621,7.87,2025-05-31 10:35:00
ALCHUSDT,1748775720000,1748775840000,0.10612,0.09545520595971875,TP,19.8795,19.31,2025-06-01 11:02:00
SOONUSDT,1748788500000,1748788920000,0.27311,0.2847930388888889,SL,-8.7756,10.48,2025-06-01 14:35:00
TSTUSDT,1748790840000,1748791080000,0.0428,0.04075949699788042,TP,9.3151,8.48,2025-06-01 15:14:00
DEGOUSDT,1748793600000,1748795400000,2.6167,2.6164,TIME,-0.1971,7.38,2025-06-01 16:00:00
KMNOUSDT,1748797140000,1748798940000,0.05758,0.05722,TIME,1.0304,7.41,2025-06-01 16:59:00
LEVERUSDT,1748797620000,1748799420000,0.0004834,0.0004739,TIME,3.7105,10.3,2025-06-01 17:07:00
BUSDT,1748798400000,1748798700000,0.42077,0.39749469154685413,TP,10.8432,9.95,2025-06-01 17:20:00
DEXEUSDT,1748911920000,1748913720000,9.068,9.097,TIME,-0.8596,10.13,2025-06-03 00:52:00
IOTXUSDT,1748921400000,1748923200000,0.02394,0.02337,TIME,4.5419,7.55,2025-06-03 03:30:00
DOLOUSDT,1749040560000,1749042360000,0.035167,0.035415,TIME,-1.6304,9.87,2025-06-04 12:36:00
RVNUSDT,1749110760000,1749111420000,0.01708,0.016361411733995832,TP,8.1944,7.43,2025-06-05 08:06:00
RVNUSDT,1749111480000,1749111600000,0.01633,0.015637937931332384,TP,8.256,7.48,2025-06-05 08:18:00
RVNUSDT,1749122520000,1749123960000,0.01573,0.016402894444444444,SL,-8.7756,8.24,2025-06-05 11:22:00
LAUSDT,1749129660000,1749131340000,1.35,1.40775,SL,-8.7756,8.3,2025-06-05 13:21:00
1000000BOBUSDT,1749143100000,1749144240000,0.09648,0.1006072,SL,-8.7756,12.8,2025-06-05 17:05:00
ZEREBROUSDT,1749154620000,1749156420000,0.02923,0.02889,TIME,2.1064,7.04,2025-06-05 20:17:00
LAUSDT,1749174780000,1749175260000,1.623,1.5571482931630887,TP,7.8948,7.15,2025-06-06 01:53:00
UMAUSDT,1749229680000,1749231480000,1.276,1.279,TIME,-0.6902,9.4,2025-06-06 17:08:00
WCTUSDT,1749230760000,1749232560000,0.4098,0.4135,TIME,-2.0258,8.2,2025-06-06 17:26:00
MASKUSDT,1749232860000,1749233520000,1.9625,1.8565971028244534,TP,10.5727,9.69,2025-06-06 18:01:00
MASKUSDT,1749249600000,1749251400000,1.8187,1.7959,TIME,2.2873,7.01,2025-06-06 22:40:00
MASKUSDT,1749264060000,1749265860000,1.9204,1.9312,TIME,-1.3448,8.86,2025-06-07 02:41:00
HUMAUSDT,1749308880000,1749309000000,0.051866,0.04914608973887939,TP,10.2682,9.39,2025-06-07 15:08:00
ANIMEUSDT,1749414240000,1749414300000,0.03309,0.034505516666666666,SL,-8.7756,9.38,2025-06-08 20:24:00
LOKAUSDT,1749457860000,1749459660000,0.0554,0.0557,TIME,-1.303,7.4,2025-06-09 08:31:00
SKATEUSDT,1749471060000,1749472860000,0.06361,0.06295,TIME,1.8551,10.62,2025-06-09 12:11:00
BIDUSDT,1749472500000,1749474300000,0.07872,0.07866,TIME,-0.0676,8.56,2025-06-09 12:35:00
BIDUSDT,1749483300000,1749485100000,0.06133,0.06083,TIME,1.4105,9.87,2025-06-09 15:35:00
1000000BOBUSDT,1749543240000,1749544980000,0.07494,0.0710686702423891,TP,10.1118,9.24,2025-06-10 08:14:00
1000000BOBUSDT,1749546180000,1749546300000,0.06345,0.06616425000000001,SL,-8.7756,8.42,2025-06-10 09:03:00
1000000BOBUSDT,1749547620000,1749547920000,0.06166,0.06429767777777778,SL,-8.7756,7.42,2025-06-10 09:27:00
HOMEUSDT,1749560580000,1749560760000,0.021582,0.02250523,SL,-8.7756,8.38,2025-06-10 13:03:00
HOMEUSDT,1749560880000,1749562320000,0.022076,0.023020362222222222,SL,-8.7756,12.6,2025-06-10 13:08:00
1000000BOBUSDT,1749561420000,1749563220000,0.06766,0.06908,TIME,-4.4175,7.87,2025-06-10 13:17:00
