feat,p_mw,med_win,med_loss,rho,p_rho,q_mw,q_rho
vpt_slope|top_val,0.26919235442207134,0.0078221458212796,0.0070772670167911,0.033032448270227874,0.5079279778627,0.9832415517135147,0.998188017608607
roc60|watch_mean,0.2701171588224409,3.156139410005399,3.148927089888708,0.012269183907638074,0.8057962663310173,0.9832415517135147,0.998188017608607
kc_pos|watch_mean,0.27122927162596333,0.7839893763308347,0.7491336440962825,0.016140224444280652,0.7463693277703389,0.9832415517135147,0.998188017608607
psar_dist|top_val,0.2714144921673779,4.695981934845306,3.962312197606322,0.04147827985952326,0.4057037746280282,0.9832415517135147,0.998188017608607
macd|at_entry,0.2734628970106546,-0.7840842476380857,-0.8217955293852783,0.04911604477238459,0.32474401200755737,0.9832415517135147,0.998188017608607
wick_ratio|watch_max,0.2753291582347118,0.9999999943502824,0.9999999923076924,0.03561388328861582,0.47532693035948725,0.9832415517135147,0.998188017608607
sma10_dev|pump_mean,0.2757089779625842,0.6630844638502797,0.6166667078497104,0.040408349263245304,0.41793323607386884,0.9832415517135147,0.998188017608607
dd_from_max|pump_mean,0.2770249523052971,-1.3725756572086365,-1.5969342394121224,0.028594135328687403,0.5665963530129546,0.9832415517135147,0.998188017608607
lr_slope10|entry_m_top,0.2775904619292331,-0.9994836294517556,-0.95053486131043,-0.0213765297125246,0.6683740577887075,0.9832415517135147,0.998188017608607
hv30|entry_m_top,0.2794805830738655,0.0175443669988301,0.0837853448667005,-0.10781715061497878,0.030257528081993012,0.9832415517135147,0.998188017608607
hv30|at_entry,0.2813794347559767,1.0159963589451495,1.0598918595084377,-0.07271936457500175,0.14455284341525004,0.9832415517135147,0.998188017608607
kc_pos|pump_mean,0.28501125997800547,1.1019884038514305,1.0514538489091372,0.026778992554784078,0.5914889587343392,0.9832415517135147,0.998188017608607
roc1|top_val,0.2855868127193688,0.2120890774125193,0.4211018832611992,-0.08288128877447062,0.09619342480186474,0.9832415517135147,0.998188017608607
roc60|at_entry,0.2867426913062938,-3.7179487179487296,-4.343764595983171,0.03270629941310633,0.5121285235779952,0.9832415517135147,0.998188017608607
ulcer|watch_min,0.2875128050778657,0.1892218621406576,0.2347151197948353,0.009836874224424355,0.8437407788767942,0.9832415517135147,0.998188017608607
mfi|retr_m_pump,0.2879009091327315,-13.748796273235875,-15.39352964564312,0.08002686124691874,0.10824910450330527,0.9832415517135147,0.998188017608607
hv30|watch_min,0.2882875211093757,0.333519245677953,0.364539201947487,-0.0390520979600525,0.43374221961119247,0.9832415517135147,0.998188017608607
roc5|top_val,0.28925568172973015,3.303834808259582,3.034124896400144,0.027943547653290064,0.5754607188915191,0.9832415517135147,0.998188017608607
trix|watch_mean,0.28983823882436754,0.0502093231179122,0.0512331199138245,0.01640883691346802,0.7422964612082835,0.9832415517135147,0.998188017608607
sma10_dev|retr_mean,0.2921745950764425,-0.587129648347157,-0.7199432655084609,0.08170678109994621,0.10101756568386132,0.9832415517135147,0.998188017608607
uo|watch_min,0.29354301076826583,30.580472850712592,31.292460353164312,-0.02345710730861067,0.6382936938343913,0.9832415517135147,0.998188017608607
rsi28|top_val,0.2941311972401448,67.43624911023113,68.07990719317431,-0.011088817732062703,0.8241591947901584,0.9832415517135147,0.998188017608607
roc30|watch_mean,0.2949162924932124,1.652416409670662,1.502131012003798,0.020067316905387805,0.6875818701498966,0.9832415517135147,0.998188017608607
bb_width|watch_min,0.2957027466509604,1.4751794415565636,1.4854158478652817,-0.05048622774062791,0.311412774201761,0.9832415517135147,0.998188017608607
tk_buy1|retr_m_pump,0.2967919183123041,-2.852143615611169,-2.6449962413687977,-0.042563355801180855,0.41944285085354144,0.9832415517135147,0.998188017608607
fund|hours_since,0.29726709424539766,1.6333333333333333,1.9333333333333331,-0.058770374495578426,0.2385460402848433,0.9832415517135147,0.998188017608607
rsi28|watch_min,0.29727999621323775,36.10345835808896,35.385135432642045,0.05104401258984459,0.3060902577339938,0.9832415517135147,0.998188017608607
rsi28|retr_mean,0.29767517472927263,50.82093621542518,50.402610228557805,0.019876412786026323,0.6903998980928087,0.9832415517135147,0.998188017608607
tk_buy15|watch_max,0.30264385197725974,56.84664942541934,56.44602796934778,0.051098785145372756,0.33229991179081514,0.9832415517135147,0.998188017608607
vpt_slope|pump_mean,0.3040454378044609,0.0021374103631712,0.0019384658602204,0.02201176954727406,0.659130699296746,0.9832415517135147,0.998188017608607
vol_ratio60|retr_m_pump,0.30605501362916954,-0.3445735746506653,-0.2411167622423198,-0.08868979536497901,0.07497296424026298,0.9832415517135147,0.998188017608607
cvd_norm|watch_min,0.3066142895490175,-3.8720389472980017,-3.7159305163611958,-0.08101384697182006,0.11979905651048374,0.9832415517135147,0.998188017608607
range_pct|entry_m_top,0.3076687335098479,-0.3866493709003529,0.1421941621314122,-0.09016115838217402,0.07025078796990936,0.9832415517135147,0.998188017608607
ema5_dev|pump_mean,0.3080729757897309,0.308327225066236,0.2896345931515925,0.032681461191976485,0.5124491588142479,0.9832415517135147,0.998188017608607
atr_pct|watch_min,0.3088841062972234,0.531662884912892,0.5262010572570233,-0.06381544952511516,0.20054326297100877,0.9832415517135147,0.998188017608607
cvd_norm|watch_slope,0.31030901074918227,0.0055728516113579,0.0028237793246742,0.07514513928738165,0.149134570844038,0.9832415517135147,0.998188017608607
obv_slope20|watch_min,0.3111162902746317,-0.5554895101139045,-0.5931116122504315,0.0820736202392813,0.09949062447923429,0.9832415517135147,0.998188017608607
macd_hist|top_val,0.3121354513600141,0.3714855614110015,0.3466447157127886,0.0523308410245491,0.29404149214678693,0.9832415517135147,0.998188017608607
sma10_dev|watch_min,0.3131563026522812,-4.6078884361742345,-4.746326960638115,0.09204130974305563,0.06457340625286388,0.9832415517135147,0.998188017608607
tk_buy60|at_entry,0.31331734566533065,49.68340029663795,49.745132506780195,-0.02275166689623156,0.6665859955853786,0.9832415517135147,0.998188017608607
s|overshoot,0.3145897660646928,3.519541641088608,3.735990037359893,0.04647650869305293,0.3514526264029321,0.9832415517135147,0.998188017608607
kc_pos|entry_m_top,0.3162330053621507,-2.809174626230578,-2.818545449462893,0.011626406643972916,0.8157833965820257,0.9832415517135147,0.998188017608607
wick_ratio|watch_slope,0.3162330053621507,0.0002928398487505,0.0001554536520996,0.04970004031006905,0.3190174068475117,0.9832415517135147,0.998188017608607
nvi|watch_min,0.31643871762472864,-3.2196014432308795,-3.4394177025741657,0.07182755149134662,0.14955515476821712,0.9832415517135147,0.998188017608607
delta_z20|watch_slope,0.31825749287305527,-0.00194213535136235,-0.00181151826513285,-0.030404890368998266,0.5598895111579802,0.9832415517135147,0.998188017608607
eom|retr_m_pump,0.319950855781614,-7.450718336508148e-05,-4.789979111703847e-05,-0.010644588032004193,0.8310955587928732,0.9832415517135147,0.998188017608607
stoch_k|entry_m_top,0.32202863005872806,-69.32775754305496,-70.7777777777777,0.023089207183745665,0.6435714969599868,0.9832415517135147,0.998188017608607
willr|entry_m_top,0.32202863005872806,-69.32775754305496,-70.77777777777769,0.023089207183745665,0.6435714969599868,0.9832415517135147,0.998188017608607
kst|pump_mean,0.32495214289527063,13.853100228819724,13.386102356007232,0.01252405979468112,0.8018447649355679,0.9832415517135147,0.998188017608607
body_pct|pump_mean,0.3255806584154809,0.547126011500127,0.5828687747486462,-0.03508024985346434,0.4819710023822245,0.9832415517135147,0.998188017608607
delta_z20|watch_max,0.32777744811349696,3.6192107929618773,3.4635748374985305,-0.0012654501777336648,0.9806459631471258,0.9832415517135147,0.9987867265208704
up_dn_vol20|watch_min,0.3281035288593892,0.285768876611418,0.2554048219978746,0.08060026556439083,0.10573623564104413,0.9832415517135147,0.998188017608607
nvi|at_entry,0.32958136132137494,-0.6972433643147258,-0.8983783844262683,0.040110975530969144,0.4213702932256049,0.9832415517135147,0.998188017608607
dpo|pump_mean,0.3304274483801495,-0.2178137539580733,-0.2064850819076307,-0.0409350227897557,0.41188645749479874,0.9832415517135147,0.998188017608607
di_diff|watch_mean,0.3308512167875931,6.645502475693883,5.454097018817619,0.021179802016595372,0.6712469088513046,0.9832415517135147,0.998188017608607
kc_pos|at_entry,0.3308512167875931,-0.8917572461565182,-0.7803750598490993,-0.005111826319108338,0.9184163648875096,0.9832415517135147,0.998188017608607
cci|top_val,0.33212392525720336,163.6701060610326,157.438177704969,0.013850475754663744,0.7813640806657893,0.9832415517135147,0.998188017608607
vortex_diff|watch_max,0.33254876847455284,0.8299619467254155,0.8299367533380178,0.002462374537623671,0.9606484725660153,0.9832415517135147,0.9987867265208704
sma5_20_x|at_entry,0.333400410152802,-1.706854510972622,-1.9009432002326851,0.0564517493933016,0.25761201831719055,0.9832415517135147,0.998188017608607
eom|pump_mean,0.33403933177140377,3.737401012734591e-05,2.3381550329569444e-05,0.003824363714652105,0.9389172054550606,0.9832415517135147,0.998188017608607
ema10_dev|pump_mean,0.33467974706189485,0.6236363812592366,0.564410507144213,0.033960368741588795,0.49607632016737835,0.9832415517135147,0.998188017608607
